Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
Qwen3-4B-Non-Thinking,475.0,9,1,1,11.11111111111111,15.849182515849183,None,473.0,1.0,1.0,33,USACO,2024,combined,USACO-2024-February_Contest-combined
Codestral-22B-v0.1,443.0,9,0,3,0.0,14.781448114781448,None,191.0,1.0,251.0,34,USACO,2024,combined,USACO-2024-February_Contest-combined
Mistral-Large-Instruct-2411,387.0,9,0,4,0.0,12.912912912912914,None,274.0,1.0,112.0,35,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen2.5-72B,347.0,9,0,4,0.0,11.578244911578246,None,245.0,18.0,84.0,36,USACO,2024,combined,USACO-2024-February_Contest-combined
seed-oss_16384,336.0,9,1,0,11.11111111111111,11.21121121121121,None,334.0,1.0,1.0,38,USACO,2024,combined,USACO-2024-February_Contest-combined
seed-oss_4096,336.0,9,1,0,11.11111111111111,11.21121121121121,None,334.0,1.0,1.0,39,USACO,2024,combined,USACO-2024-February_Contest-combined
Llama-3.3-70B-Instruct,326.0,9,0,5,0.0,10.877544210877545,None,191.0,18.0,117.0,40,USACO,2024,combined,USACO-2024-February_Contest-combined
seed-oss_0,322.0,9,0,5,0.0,10.744077410744076,None,187.0,18.0,117.0,41,USACO,2024,combined,USACO-2024-February_Contest-combined
DeepSeek-Coder-V2-Lite-Instruct,300.0,9,0,4,0.0,10.01001001001001,None,281.0,18.0,1.0,42,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen2.5-Coder-7B-Instruct,271.0,9,0,5,0.0,9.042375709042377,None,196.0,18.0,57.0,43,USACO,2024,combined,USACO-2024-February_Contest-combined
Mistral-Small-3.1-24B-2503,251.0,9,0,3,0.0,8.375041708375042,None,166.0,1.0,84.0,44,USACO,2024,combined,USACO-2024-February_Contest-combined
Qwen3-8B-Non-Thinking,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,46,USACO,2024,combined,USACO-2024-February_Contest-combined
Llama-3.1-8B-Instruct,76.0,9,0,2,0.0,2.5358692025358693,None,1.0,18.0,57.0,45,USACO,2024,combined,USACO-2024-February_Contest-combined
DeepSeek-R1-Distill-Llama-8B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,47,USACO,2024,combined,USACO-2024-February_Contest-combined
